"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"214","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Nov-2019"
"215","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Nov-2019"
"216","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Nov-2019"
"217","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Nov-2019"
"218","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2150","900 to 1000","Nov-2019"
"219","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Nov-2019"
"220","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2019"
"221","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2019"
"222","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"223","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"224","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"225","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2019"
"226","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Oct-2019"
"227","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2780","1100 to 1200","Oct-2019"
"228","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"229","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Oct-2019"
"230","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"231","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Oct-2019"
"232","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"233","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Oct-2019"
"234","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Oct-2019"
"235","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2019"
"236","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Sep-2019"
"237","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Sep-2019"
"238","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2019"
"239","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2019"
"240","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Sep-2019"
"241","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3050","1100 to 1200","Sep-2019"
"242","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","900 to 1000","Sep-2019"
"243","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Sep-2019"
"244","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Sep-2019"
"245","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Sep-2019"
"246","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Sep-2019"
"247","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Sep-2019"
"248","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Sep-2019"
"249","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Sep-2019"
"250","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","600 to 700","Sep-2019"
"251","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3200","1100 to 1200","Sep-2019"
"252","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Sep-2019"
"253","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2200","900 to 1000","Sep-2019"
"254","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Aug-2019"
"255","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Aug-2019"
"256","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Aug-2019"
"257","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Aug-2019"
"258","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2240","900 to 1000","Aug-2019"
"259","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Aug-2019"
"260","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","600 to 700","Aug-2019"
"261","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2019"
"262","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2019"
"263","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","1100 to 1200","Aug-2019"
"264","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Aug-2019"
"265","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Aug-2019"
"266","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Jul-2019"
"267","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Jul-2019"
"268","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jul-2019"
"269","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2375","900 to 1000","Jul-2019"
"270","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jul-2019"
"271","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Jul-2019"
"272","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jul-2019"
"273","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jul-2019"
"274","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jul-2019"
"275","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2019"
"276","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2019"
"277","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2019"
"278","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jul-2019"
"279","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jul-2019"
"280","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jul-2019"
"281","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jul-2019"
"282","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Jul-2019"
"283","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jul-2019"
"284","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Jun-2019"
"285","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2019"
"286","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jun-2019"
"287","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","1950","900 to 1000","Jun-2019"
"288","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jun-2019"
"289","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1800","600 to 700","Jun-2019"
"290","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","Jun-2019"
"291","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2019"
"292","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Jun-2019"
"293","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jun-2019"
"294","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2019"
"295","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","May-2019"
"296","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","May-2019"
"297","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","May-2019"
"298","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","May-2019"
"299","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","May-2019"
"300","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","May-2019"
"301","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","1100 to 1200","May-2019"
"302","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3050","1100 to 1200","Apr-2019"
"303","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Apr-2019"
"304","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Apr-2019"
"305","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Apr-2019"
"306","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Apr-2019"
"307","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Apr-2019"
"308","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Apr-2019"
"309","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4100","1900 to 2000","Apr-2019"
"310","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Apr-2019"
"311","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Apr-2019"
"312","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Apr-2019"
"313","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Apr-2019"
"314","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Apr-2019"
"315","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Apr-2019"
"316","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Apr-2019"
"317","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2350","900 to 1000","Mar-2019"
"318","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Mar-2019"
"319","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Mar-2019"
"320","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","1100 to 1200","Mar-2019"
"321","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Mar-2019"
"322","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Mar-2019"
"323","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Mar-2019"
"324","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2100","600 to 700","Mar-2019"
"325","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Mar-2019"
"326","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Mar-2019"
"327","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Mar-2019"
"328","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Mar-2019"
"329","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Mar-2019"
"330","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Mar-2019"
"331","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Mar-2019"
"332","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Mar-2019"
"333","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Feb-2019"
"334","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2650","1100 to 1200","Feb-2019"
"335","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Feb-2019"
"336","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Feb-2019"
"337","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Feb-2019"
"338","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Feb-2019"
"339","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Feb-2019"
"340","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Feb-2019"
"341","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Feb-2019"
"342","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Feb-2019"
"343","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Feb-2019"
"344","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1800","600 to 700","Feb-2019"
"345","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Jan-2019"
"346","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2450","1100 to 1200","Jan-2019"
"347","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","Jan-2019"
"348","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jan-2019"
"349","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Jan-2019"
"350","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Jan-2019"
"351","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Jan-2019"
"352","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Jan-2019"
"353","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jan-2019"
"354","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4250","1800 to 1900","Jan-2019"
"355","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Jan-2019"
"356","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Jan-2019"
"357","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jan-2019"
"358","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Jan-2019"
"359","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Dec-2018"
"360","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Dec-2018"
"361","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Dec-2018"
"362","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2018"
"363","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2300","1100 to 1200","Dec-2018"
"364","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2350","1100 to 1200","Dec-2018"
"365","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2750","1100 to 1200","Dec-2018"
"366","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1900","700 to 800","Dec-2018"
"367","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2018"
"368","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2018"
"369","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2018"
"370","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Dec-2018"
"371","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Dec-2018"
"372","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Dec-2018"
"373","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Dec-2018"
"374","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Dec-2018"
"375","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2850","900 to 1000","Nov-2018"
"376","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2018"
"377","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2018"
"378","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2600","1100 to 1200","Nov-2018"
"379","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2750","1100 to 1200","Nov-2018"
"380","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Nov-2018"
"381","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2450","900 to 1000","Nov-2018"
"382","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Nov-2018"
"383","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2650","1100 to 1200","Nov-2018"
"384","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Nov-2018"
"385","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2018"
"386","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","700","900 to 1000","Nov-2018"
"387","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2018"
"388","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Nov-2018"
"389","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2018"
"390","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2650","1100 to 1200","Nov-2018"
"391","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2250","900 to 1000","Nov-2018"
"392","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Nov-2018"
"393","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","Nov-2018"
"394","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Nov-2018"
"395","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Nov-2018"
"396","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Nov-2018"
"397","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2018"
"398","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Oct-2018"
"399","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Oct-2018"
"400","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1950","600 to 700","Oct-2018"
"401","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2018"
"402","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","Oct-2018"
"403","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2780","1100 to 1200","Oct-2018"
"404","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Oct-2018"
"405","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2018"
"406","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2018"
"407","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Oct-2018"
"408","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Oct-2018"
"409","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Sep-2018"
"410","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Sep-2018"
"411","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Sep-2018"
"412","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Sep-2018"
"413","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Sep-2018"
"414","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Sep-2018"
"415","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2000","900 to 1000","Sep-2018"
"416","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Sep-2018"
"417","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2700","1100 to 1200","Sep-2018"
"418","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","600 to 700","Sep-2018"
"419","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2900","900 to 1000","Sep-2018"
"420","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2200","900 to 1000","Sep-2018"
"421","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Aug-2018"
"422","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2400","1100 to 1200","Aug-2018"
"423","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2100","900 to 1000","Aug-2018"
"424","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Aug-2018"
"425","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Aug-2018"
"426","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2018"
"427","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","1900","600 to 700","Aug-2018"
"428","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2300","900 to 1000","Aug-2018"
